SelectedSNPs,NeutralSNPs,SelectedSubstitutions,NeutralSubstitutions,SelectedSites,NeutralSites,dNdS,OmegaA.simulated,OmegaNA.simulated,Alpha.simulated,dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,X.param,lnL,Alpha.inferred,alpha_down,alpha_up,OmegaA.inferred,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral.f0,Neutral.syno_orientation_error,GammaZero.negGmean,GammaZero.negGshape,GammaZero.syno_orientation_error,GammaExpo.negGmean,GammaExpo.negGshape,GammaExpo.posGmean,GammaExpo.pos_prop,GammaExpo.syno_orientation_error,GammaGamma.negGmean,GammaGamma.negGshape,GammaGamma.posGmean,GammaGamma.posGshape,GammaGamma.pos_prop,GammaGamma.syno_orientation_error,DisplGamma.negGmean,DisplGamma.negGshape,DisplGamma.s0,DisplGamma.syno_orientation_error,ScaledBeta.Ba,ScaledBeta.Bb,ScaledBeta.med_prop,ScaledBeta.syno_orientation_error,FGMBesselK.BKm,FGMBesselK.BKnsz2,FGMBesselK.BKsigma,FGMBesselK.BKscale,FGMBesselK.syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN,Alpha.basic,Alpha.FWW,OmegaA.basic,OmegaA.FWW,OmegaNA.basic,OmegaNA.FWW,OmegaNA.inferred,Scenario,PropPosSel,Replicate,AlphaCategory,NewPopSize,PropAdmixt,omegaA,omegaNA,alpha,MergeTime
702,3310,367,3318,561375,187125,0.0368696,0,0.0368696,0,all,702,561375,3310,187125,367,561375,3318,187125,GammaExpo,25,-122.2958,2e-04,0,0.0000,0,0,0,0.0034,0.8092,0.1872,2e-04,NA,NA,NA,NA,NA,11537.826764,0.352182,0.00162,0.00714,0.012993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005198,0.948695,1.099024,0.935906,0.859956,0.839446,0.920736,1.156878,0.929311,0.952219,0.848201,0.968212,0.929322,0.959506,0.88764,0.994567,0.727198,0.849873,0.826094,964,455,355,221,170,132,128,138,104,87,75,75,66,71,57,63,46,51,52,960.6931,456.0528,352.5149,225.3632,165.841,135.073,127.1712,140.0478,100.1971,92.6191,75.218,78.9887,70.3066,67.8176,59.0542,62.818,44.1298,50.6981,52.1806,301,105,66,44,23,24,18,22,10,18,10,14,13,5,9,7,3,5,5,304.3069,103.9472,68.4851,39.6368,27.159,20.927,18.8288,19.9522,13.8029,12.3809,9.782,10.0113,8.6934,8.1824,6.9458,7.182,4.8702,5.3019,4.8194,3318,3311.7401,367,373.2599,-0.91743,-0.415176,-0.0338253,-0.0153074,0.0706949,0.052177,0.0374924,Panmictic,0,1,1,NA,NA,NA,NA,NA,NA
686,3262,349,3109,561375,187125,0.0374182,0,0.0374182,0,all,686,561375,3262,187125,349,561375,3109,187125,GammaExpo,25,-127.2368,0,0,0.0000,0,0,0,0.0025,0.2777,0.7197,0,NA,NA,NA,NA,NA,2501.981341,0.572678,0.002019,0.028681,0.006878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005262,0.893236,0.991288,0.882098,0.743713,0.85962,1.093943,0.959691,0.928153,0.861823,0.908954,0.678952,0.851614,0.714916,1.32647,1.109146,1.12287,0.964438,0.822688,976,446,319,218,145,144,156,112,102,82,71,51,64,49,88,66,68,56,49,978.1808,437.0501,323.4967,216.0076,145.7799,140.5087,153.3818,117.8427,101.4126,84.8547,81.4837,55.8994,64.8799,50.7399,88.2668,69.6621,67.121,55.6572,47.9102,310,83,62,33,23,17,19,22,13,14,21,12,9,8,11,12,7,6,4,307.8192,91.9499,57.5033,34.9924,22.2201,20.4913,21.6182,16.1573,13.5874,11.1453,10.5163,7.1006,8.1201,6.2601,10.7332,8.3379,7.879,6.3428,5.0898,3109,3091.7589,349,366.2411,-0.873421,-0.418551,-0.0326819,-0.0156615,0.0701001,0.0530797,0.0392648,Panmictic,0,2,1,NA,NA,NA,NA,NA,NA
709,3480,344,3243,561375,187125,0.0353582,0,0.0353582,0,all,709,561375,3480,187125,344,561375,3243,187125,GammaExpo,25,-132.4811,2e-04,0,0.0000,0,0,0,0.0035,0.5938,0.4024,2e-04,NA,NA,NA,NA,NA,4352.313227,0.444988,0.370317,0.011583,0.015264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005738,0.869075,0.979584,0.812216,0.762103,1.132455,0.833963,0.915587,0.769784,0.830644,0.70306,1.053933,0.966371,0.851453,0.85636,0.992628,1.073176,0.667757,0.691471,1051,473,345,215,162,195,120,130,95,96,67,87,84,65,61,71,66,45,52,1058.1439,460.2195,346.1762,215.5173,161.9841,200.8796,127.0133,122.2546,91.5779,89.1837,68.8559,95.0177,80.8568,66.6275,63.1678,69.6599,72.6067,44.6944,49.8101,344,86,63,35,24,34,24,8,8,4,10,19,6,9,9,6,14,4,2,336.8561,98.7805,61.8238,34.4827,24.0159,28.1204,16.9867,15.7454,11.4221,10.8163,8.1441,10.9823,9.1432,7.3725,6.8322,7.3401,7.3933,4.3056,4.1899,3243,3239.9659,344,347.0341,-0.920682,-0.344695,-0.0325537,-0.0121878,0.0679119,0.047546,0.0356631,Panmictic,0,3,1,NA,NA,NA,NA,NA,NA
726,3404,387,3306,561375,187125,0.03902,0,0.03902,0,all,726,561375,3404,187125,387,561375,3306,187125,GammaExpo,25,-123.9113,2e-04,0,0.0000,0,0,0,0.0031,0.5504,0.4463,2e-04,NA,NA,NA,NA,NA,5300.976436,0.430594,0.000395,0.02243,0.00079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005667,0.810843,0.92978,1.000867,0.869176,0.736108,0.909319,0.726505,0.857357,0.863927,0.751073,0.720885,1.04306,0.902255,1.018054,0.818396,0.798386,1.085649,0.870252,1055,445,323,252,188,136,139,94,99,92,71,62,85,67,76,56,50,66,48,1059.656,429.6273,328.4479,265.1852,184.2464,130.0422,137.7051,96.2773,101.006,91.6151,72.4196,63.7304,85.1432,68.4146,72.0867,54.3703,49.9865,64.3641,49.2623,344,81,68,59,26,14,19,16,16,12,11,10,11,10,5,5,6,6,7,339.344,96.3727,62.5521,45.8148,29.7536,19.9578,20.2949,13.7227,13.994,12.3849,9.5804,8.2696,10.8568,8.5854,8.9133,6.6297,6.0135,7.6359,5.7377,3306,3306.2234,387,386.7766,-0.82196,-0.35049,-0.0320729,-0.0136761,0.0710928,0.0526961,0.0389915,Panmictic,0,4,1,NA,NA,NA,NA,NA,NA
686,3249,394,3176,561375,187125,0.0413518,0,0.0413518,0,all,686,561375,3249,187125,394,561375,3176,187125,GammaExpo,25,-125.0965,1e-04,0,0.0000,0,0,0,0.0027,0.5606,0.4366,1e-04,NA,NA,NA,NA,NA,10211.981082,0.387036,0.042825,0.01785,0.030952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004897,1.04718,0.96121,1.020909,1.084965,1.04911,0.851125,1.157122,1.016431,1.00278,0.889715,1.249291,1.111003,1.092337,0.987248,1.084834,0.874112,0.571306,0.591119,897,448,293,230,199,164,105,135,102,89,75,98,75,77,61,65,54,36,46,889.5715,466.6394,286.1471,228.4717,194.7586,157.4077,109.8379,131.1871,102.9178,91.8992,74.6348,96.8853,80.3988,74.4557,64.051,67.9066,53.9284,36.2897,44.397,273,126,50,40,29,19,22,16,16,16,10,12,16,7,11,11,6,4,2,280.4285,107.3606,56.8529,41.5283,33.2414,25.5923,17.1621,19.8129,15.0822,13.1008,10.3652,13.1147,10.6012,9.5443,7.949,8.0934,6.0716,3.7103,3.603,3176,3172.4157,394,397.5843,-0.701997,-0.215064,-0.0290288,-0.00889329,0.0703806,0.0502451,0.0417232,Panmictic,0,5,1,NA,NA,NA,NA,NA,NA
714,3523,354,3133,561375,187125,0.0376636,0,0.0376636,0,all,714,561375,3523,187125,354,561375,3133,187125,GammaExpo,25,-130.2474,2e-04,0,0.0000,0,0,0,0.0032,0.7875,0.2091,2e-04,NA,NA,NA,NA,NA,18152.09491,0.336464,0.003595,0.007941,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00556,0.933334,0.915666,0.935965,0.907451,1.01632,0.968904,0.990795,1.027358,1.128074,0.907436,0.941129,0.999502,0.850768,0.861673,0.989274,0.833339,0.821547,0.573392,1038,489,321,244,194,169,147,118,113,124,82,86,82,66,58,62,54,48,28,1040.4127,485.5263,317.5568,243.4475,188.8247,176.232,144.0085,128.8545,118.764,117.3663,85.828,81.5968,79.9919,63.225,59.7664,64.3284,51.001,47.486,31.3981,310,102,56,41,25,34,18,29,22,9,15,6,8,5,9,10,3,5,7,307.5873,105.4737,59.4432,41.5525,30.1753,26.768,20.9915,18.1455,16.236,15.6337,11.172,10.4032,10.0081,7.775,7.2336,7.6716,5.999,5.514,3.6019,3133,3130.7884,354,356.2116,-0.793671,-0.339071,-0.0298925,-0.0127706,0.0675561,0.0504342,0.0378905,Panmictic,0,6,1,NA,NA,NA,NA,NA,NA
703,3339,353,3174,561375,187125,0.037072,0,0.037072,0,all,703,561375,3339,187125,353,561375,3174,187125,GammaExpo,25,-124.9639,2e-04,0,0.0000,0,0,0,0.0031,0.7464,0.2502,2e-04,NA,NA,NA,NA,NA,15006.841529,0.349429,0.00201,0.009599,0.036803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005534,0.979574,0.916492,0.905666,0.939979,1.0555,0.77852,0.773519,0.984417,0.639074,0.886395,0.67746,1.052617,0.957221,0.884949,0.766293,0.572809,0.702243,0.495453,998,492,313,228,190,172,113,99,116,65,85,60,80,68,66,57,36,55,46,999.4908,490.629,306.7838,228.0043,189.9113,178.3476,113.2199,98.9034,112.5154,66.1823,84.1324,59.5405,86.4981,74.2814,65.5939,55.0743,40.887,52.2976,44.8941,310,109,53,40,31,34,17,14,12,10,10,7,17,15,7,4,9,2,2,308.5092,110.371,59.2162,39.9957,31.0887,27.6524,16.7801,14.0966,15.4846,8.8177,10.8676,7.4595,10.5019,8.7186,7.4061,5.9257,4.113,4.7024,3.1059,3174,3166.0227,353,360.9773,-0.893089,-0.381063,-0.0331086,-0.0141268,0.0701807,0.0511988,0.037903,Panmictic,0,7,1,NA,NA,NA,NA,NA,NA
712,3389,361,3181,561375,187125,0.0378288,0,0.0378288,0,all,712,561375,3389,187125,361,561375,3181,187125,GammaExpo,25,-120.3522,2e-04,0,0.0000,0,0,0,0.0031,0.7981,0.1985,2e-04,NA,NA,NA,NA,NA,20851.643089,0.328083,0.00098,0.007989,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005899,0.881692,0.870939,0.784982,0.674545,0.645399,0.861963,0.799102,0.97385,0.86992,0.968293,0.596795,0.731501,0.6878,0.653499,0.840398,0.6466,1.064817,0.986649,1112,478,324,210,148,121,137,109,119,97,94,57,61,56,45,57,39,66,59,1103.814,486.6118,320.4514,216.6186,148.9144,118.7334,135.921,110.2576,119.4389,96.023,97.165,54.8959,62.1108,54.2288,48.0894,57.9777,41.9839,65.2978,57.3198,318,115,57,44,25,16,19,17,17,12,16,5,9,5,9,8,8,7,5,326.186,106.3882,60.5486,37.3814,24.0856,18.2666,20.079,15.7424,16.5611,12.977,12.835,7.1041,7.8892,6.7712,5.9106,7.0223,5.0161,7.7022,6.6802,3181,3174.6927,361,367.3073,-0.851249,-0.366563,-0.0322017,-0.0138666,0.0700305,0.0516954,0.0384809,Panmictic,0,8,1,NA,NA,NA,NA,NA,NA
721,3232,350,3184,561375,187125,0.0366415,0,0.0366415,0,all,721,561375,3232,187125,350,561375,3184,187125,GammaExpo,25,-123.7556,2e-04,0,0.0000,0,0,0,0.0034,0.9688,0.0277,2e-04,NA,NA,NA,NA,NA,21588.378524,0.305696,0.000213,0.002354,0.045653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005284,1.001269,0.93594,0.822606,1.035684,0.878225,0.957434,1.051036,0.9312,1.084051,0.92313,0.798922,0.900462,0.643938,0.786249,0.578301,0.644724,0.871089,0.485677,954,482,292,184,201,138,135,126,96,108,83,67,70,47,51,39,45,67,47,945.9844,474.9142,296.8722,196.3752,198.5728,140.9484,132.3877,127.9244,101.4532,107.1853,83.8184,67.3303,71.1668,48.2462,56.5588,40.6316,45.487,65.3248,46.0434,301,107,66,49,32,26,18,21,20,14,12,9,10,7,12,6,5,4,2,309.0156,114.0858,61.1278,36.6248,34.4272,23.0516,20.6123,19.0756,14.5468,14.8147,11.1816,8.6697,8.8332,5.7538,6.4412,4.3684,4.513,5.6752,2.9566,3184,3166.9541,350,367.0459,-1.02941,-0.585415,-0.037719,-0.0214505,0.0743606,0.0580921,0.0384198,Panmictic,0,9,1,NA,NA,NA,NA,NA,NA
664,3217,382,3258,561375,187125,0.0390833,0,0.0390833,0,all,664,561375,3217,187125,382,561375,3258,187125,GammaExpo,25,-120.6927,0.0561,0,0.0000,0.0022,0,0,0.0035,0.8204,0.12,0.0561,NA,NA,NA,NA,NA,9889.182684,0.352205,2.3567,0.002456,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004857,0.986697,1.051685,0.939868,0.888072,0.993434,1.091656,1.075452,0.952355,1.032288,0.97741,0.986445,0.955955,1.223604,0.79649,1.007994,0.988133,1.011372,1.067898,912,446,320,207,160,154,147,125,97,93,81,73,62,81,49,54,54,50,52,908.8453,448.3777,318.6062,213.5485,161.424,150.4796,141.7352,122.1774,96.1714,93.819,80.7558,74.7105,66.8319,79.4333,48.2591,57.2569,52.8271,51.0656,51.0818,285,103,59,43,27,19,15,14,12,13,10,11,13,8,5,10,5,7,5,288.1547,100.6223,60.3938,36.4515,25.576,22.5204,20.2648,16.8226,12.8286,12.181,10.2442,9.2895,8.1681,9.5667,5.7409,6.7431,6.1729,5.9344,5.9182,3258,3256.3596,382,383.6404,-0.760373,-0.266244,-0.0297179,-0.0104057,0.0688012,0.049489,0.0370496,Panmictic,0,10,1,NA,NA,NA,NA,NA,NA
