Zt09_10_00013|g5110.t1
Zt09_10_00014|g5111.t1
Zt09_10_00021|g5116.t1
Zt09_10_00022|g5117.t1
Zt09_10_00037|g10187.t1
Zt09_10_00038|g10186.t1
Zt09_10_00039|g10185.t1
Zt09_10_00040|g10184.t1
Zt09_10_00041|g10183.t1
Zt09_10_00042|g10182.t1
Zt09_10_00043|g10181.t1
Zt09_10_00046|g10177.t1
Zt09_10_00051|g10171.t1
Zt09_10_00052|g10170.t1
Zt09_10_00055|g5545.t1
Zt09_10_00056|g5546.t1
Zt09_10_00058|g5547.t1
Zt09_10_00059|g5548.t1
Zt09_10_00060|g5549.t1
Zt09_10_00061|g5550.t1
Zt09_10_00069|g6173.t1
Zt09_1_00006|g38.t1
Zt09_10_00071|g6175.t1
Zt09_10_00072|g6176.t1
Zt09_10_00073|g6178.t1
Zt09_10_00074|g6179.t1
Zt09_10_00075|g6180.t1
Zt09_10_00077|g6183.t1
Zt09_10_00079|g6185.t1
Zt09_1_00007|g37.t1
Zt09_10_00080|g6186.t1
Zt09_10_00081|g6187.t1
Zt09_10_00082|g6188.t1
Zt09_10_00083|g6189.t1
Zt09_10_00086|g6192.t1
Zt09_10_00089|g6195.t1
Zt09_10_00091|g6197.t1
Zt09_10_00099|g8734.t1
Zt09_1_00009|g35.t1
Zt09_10_00100|g8735.t1
Zt09_10_00105|g8737.t1
Zt09_10_00106|g8738.t1
Zt09_10_00107|g8739.t1
Zt09_10_00108|g8740.t1
Zt09_10_00111|g8743.t1
Zt09_10_00112|g8744.t1
Zt09_10_00115|g8746.t1
Zt09_10_00120|g8751.t1
Zt09_10_00125|g8754.t1
Zt09_10_00126|g8756.t1
Zt09_10_00127|g5155.t1
Zt09_1_00012|g33.t1
Zt09_10_00133|g5150.t1
Zt09_10_00134|g5149.t1
Zt09_10_00135|g5148.t1
Zt09_10_00140|g5144.t1
Zt09_10_00141|g5143.t1
Zt09_10_00142|g5142.t1
Zt09_10_00146|g5139.t1
Zt09_10_00148|g5137.t1
Zt09_10_00149|g5136.t1
Zt09_10_00150|g5135.t1
Zt09_10_00151|g5134.t1
Zt09_10_00152|g5133.t1
Zt09_10_00155|g5130.t1
Zt09_10_00156|g5129.t1
Zt09_10_00157|g5128.t1
Zt09_1_00015|g29.t1
Zt09_10_00163|g9460.t1
Zt09_10_00164|g2510.t1
Zt09_10_00169|g2514.t1
Zt09_10_00170|g2515.t1
Zt09_10_00171|g2516.t1
Zt09_10_00172|g2517.t1
Zt09_10_00174|g2519.t1
Zt09_10_00175|g2520.t1
Zt09_10_00176|g2521.t1
Zt09_10_00184|g2508.t1
Zt09_10_00187|g2504.t1
Zt09_10_00188|g2503.t1
Zt09_10_00190|g2501.t1
Zt09_10_00191|g2500.t1
Zt09_10_00192|g2499.t1
Zt09_10_00193|g2498.t1
Zt09_10_00196|g2494.t1
Zt09_10_00197|g2493.t1
Zt09_10_00198|g2492.t1
Zt09_10_00199|g2491.t1
Zt09_10_00201|g2489.t1
Zt09_10_00202|g2488.t1
Zt09_10_00203|g2487.t1
Zt09_10_00205|g2485.t1
Zt09_10_00206|g2483.t1
Zt09_10_00207|g2482.t1
Zt09_10_00208|g2481.t1
Zt09_10_00209|g2480.t1
Zt09_10_00210|g2479.t1
Zt09_10_00212|g2476.t1
Zt09_10_00216|g2471.t1
Zt09_10_00217|g2470.t1
Zt09_10_00219|g10517.t1
Zt09_10_00220|g10518.t1
Zt09_10_00221|g10519.t1
Zt09_10_00222|g10520.t1
Zt09_10_00225|g2617.t1
Zt09_10_00227|g2619.t1
Zt09_10_00229|g2621.t1
Zt09_10_00232|g2624.t1
Zt09_10_00233|g2625.t1
Zt09_10_00234|g2626.t1
Zt09_10_00237|g2631.t1
Zt09_10_00238|g2632.t1
Zt09_10_00240|g2634.t1
Zt09_10_00241|g2635.t1
Zt09_10_00245|g2639.t1
Zt09_10_00246|g2640.t1
Zt09_10_00248|g2643.t1
Zt09_1_00024|g1646.t1
Zt09_10_00250|g2645.t1
Zt09_10_00251|g2646.t1
Zt09_10_00252|g2647.t1
Zt09_10_00254|g2649.t1
Zt09_10_00255|g2650.t1
Zt09_10_00263|g2658.t1
Zt09_10_00266|g2661.t1
Zt09_10_00267|g2662.t1
Zt09_10_00268|g2664.t1
Zt09_10_00269|g2665.t1
Zt09_10_00272|g2668.t1
Zt09_10_00273|g2669.t1
Zt09_10_00275|g2671.t1
Zt09_10_00277|g2673.t1
Zt09_10_00278|g2674.t1
Zt09_10_00279|g2675.t1
Zt09_10_00281|g3354.t1
Zt09_10_00282|g3353.t1
Zt09_10_00284|g10967.t1
Zt09_10_00286|g10965.t1
Zt09_10_00287|g10964.t1
Zt09_1_00028|g1642.t1
Zt09_10_00294|g695.t1
Zt09_10_00295|g694.t1
Zt09_10_00296|g693.t1
Zt09_10_00297|g692.t1
Zt09_10_00299|g638.t1
Zt09_10_00300|g639.t1
Zt09_10_00313|g651.t1
Zt09_10_00315|g654.t1
Zt09_10_00317|g657.t1
Zt09_10_00318|g658.t1
Zt09_10_00319|g659.t1
Zt09_10_00321|g661.t1
Zt09_10_00322|g662.t1
Zt09_10_00323|g663.t1
Zt09_10_00325|g590.t1
Zt09_10_00326|g589.t1
Zt09_10_00328|g587.t1
Zt09_10_00329|g586.t1
Zt09_1_00032|g10164.t1
Zt09_10_00330|g585.t1
Zt09_10_00333|g7214.t1
Zt09_10_00335|g7212.t1
Zt09_10_00337|g7210.t1
Zt09_10_00340|g7205.t1
Zt09_10_00341|g7204.t1
Zt09_10_00342|g7203.t1
Zt09_10_00343|g7202.t1
Zt09_10_00344|g7201.t1
Zt09_10_00345|g7200.t1
Zt09_10_00347|g7198.t1
Zt09_10_00348|g7197.t1
Zt09_10_00349|g7196.t1
Zt09_1_00034|g10168.t1
Zt09_10_00351|g7194.t1
Zt09_10_00353|g1314.t1
Zt09_10_00354|g5991.t1
Zt09_10_00355|g5992.t1
Zt09_10_00356|g5993.t1
Zt09_10_00358|g5995.t1
Zt09_10_00362|g2716.t1
Zt09_10_00364|g2714.t1
Zt09_10_00365|g2713.t1
Zt09_10_00367|g2711.t1
Zt09_10_00368|g2709.t1
Zt09_10_00369|g2708.t1
Zt09_1_00036|g10166.t1
Zt09_10_00370|g2707.t1
Zt09_10_00371|g2706.t1
Zt09_10_00372|g2705.t1
Zt09_10_00373|g2704.t1
Zt09_10_00375|g2702.t1
Zt09_10_00376|g2701.t1
Zt09_10_00377|g2700.t1
Zt09_10_00378|g2699.t1
Zt09_10_00380|g2697.t1
Zt09_10_00381|g2696.t1
Zt09_10_00382|g2695.t1
Zt09_10_00383|g2694.t1
Zt09_10_00384|g2693.t1
Zt09_10_00385|g2692.t1
Zt09_10_00386|g2691.t1
Zt09_10_00388|g2689.t1
Zt09_10_00389|g2688.t1
Zt09_10_00390|g2687.t1
Zt09_10_00391|g2686.t1
Zt09_10_00392|g2685.t1
Zt09_10_00393|g2684.t1
Zt09_1_00039|g6458.t1
Zt09_10_00405|g3572.t1
Zt09_10_00410|g6371.t1
Zt09_10_00411|g5307.t1
Zt09_10_00414|g5310.t1
Zt09_10_00418|g3352.t1
Zt09_10_00426|g3343.t1
Zt09_10_00427|g3342.t1
Zt09_10_00430|g3339.t1
Zt09_10_00431|g3338.t1
Zt09_10_00432|g3337.t1
Zt09_10_00433|g3336.t1
Zt09_10_00434|g3334.t1
Zt09_10_00435|g3331.t1
Zt09_10_00440|g3324.t1
Zt09_10_00441|g3323.t1
Zt09_10_00447|g554.t1
Zt09_10_00452|g8899.t1
Zt09_10_00453|g8900.t1
Zt09_1_00046|g6463.t1
Zt09_10_00472|g10751.t1
Zt09_10_00485|g2182.t1
Zt09_10_00498|g9652.t1
Zt09_10_00500|g9654.t1
Zt09_10_00501|g9655.t1
Zt09_10_00512|g9663.t1
Zt09_10_00519|g1782.t1
Zt09_10_00521|g1779.t1
Zt09_10_00522|g1778.t1
Zt09_10_00541|g8287.t1
Zt09_10_00542|g8286.t1
Zt09_10_00545|g8283.t1
Zt09_1_00054|g6471.t1
Zt09_1_00055|g6472.t1
Zt09_1_00058|g1803.t1
Zt09_1_00061|g1799.t1
Zt09_1_00063|g1797.t1
Zt09_1_00067|g1981.t1
Zt09_1_00074|g11311.t1
